week_end,geo,pct_reporting_days,avg_inpatient_beds,avg_icu_beds,avg_inpatient_beds_used,avg_icu_beds_used,pct_inpatient_beds_occupied,pct_icu_beds_occupied,avg_flu_hospitalizations,avg_covid_hospitalizations,avg_covid_icu_patients
2023-01-07,MI,97.94,"19,672.43","2,908.86","16,030.86","2,223.86",81.48,76.44,698.71,"1,208.86",149.71
2023-01-14,MI,97.74,"19,439","2,886.43","15,941.14","2,181.86",81.97,75.56,402.57,"1,010.71",133.71
2023-01-21,MI,97.43,"19,312.43","2,865.57","15,630.43","2,144",80.9,74.76,224.14,870.43,105.86
2023-01-28,MI,96.92,"19,280.86","2,861.57","15,431.14","2,068.14",80.0,72.24,124.71,688,86.71
2023-02-04,MI,97.43,"19,326.57","2,857.29","15,016.43","2,033.71",77.66,71.13,66.57,599.14,86.29
2023-02-11,MI,98.15,"19,545.57","2,873.43","15,356.14","2,090.71",78.52,72.71,47.86,586.86,79.71
2023-02-18,MI,98.77,"19,746.29","2,906.86","15,425.29","2,099.86",78.11,72.23,40.57,588.57,69.57
2023-02-25,MI,97.74,"19,332","2,863.57","15,132.86","2,046",78.23,71.4,41.43,623.86,66.29
2023-03-04,MI,98.56,"19,669.57","2,905.71","15,510.29","2,098.71",78.84,72.22,42.71,660.43,73.14
2023-03-11,MI,99.18,"19,741.71","2,916.57","15,554.14","2,111.43",78.78,72.39,27.14,607.29,76.14
2023-03-18,MI,98.97,"19,856.43","2,914.71","15,536.14","2,113.14",78.22,72.49,27.0,634.43,71.57
2023-03-25,MI,98.66,"19,866.14","2,928.86","15,629.14","2,127.86",78.66,72.64,18.86,627.57,82.0
2023-04-01,MI,98.77,"19,838.57","2,941.57","15,296.86","2,127",77.1,72.31,13.0,646.43,82.57
2023-04-08,MI,98.87,"19,849.29","2,893.14","15,203","2,106.43",76.58,72.81,16.43,602.43,73.14
2023-04-15,MI,99.08,"19,794.29","2,895.43","15,189.71","2,115.43",76.72,73.05,17.29,498.29,65.0
2023-04-22,MI,99.59,"19,853.43","2,881.43","15,413.14","2,103.43",77.63,73.0,11.71,445.29,67.43
2023-04-29,MI,99.28,"19,690.29","2,870.86","14,963.29","2,058.14",75.99,71.69,11.14,368.57,58.57
2023-05-06,MI,99.69,"19,948.14","2,884.14","15,236.29","2,076.14",76.37,71.97,11.29,342.71,47.71
2023-05-13,MI,99.59,"19,828.71","2,872.43","15,150.71","2,065.86",76.39,71.91,16.0,306.71,33.14
2023-05-20,MI,99.69,"19,785.14","2,869.14","15,078","2,055.43",76.2,71.64,17.57,268.43,35.57
2023-05-27,MI,99.79,"19,818.43","2,880","15,078.29","2,083.86",76.06,72.35,17.43,231.71,37.71
2023-06-03,MI,99.69,"19,718.43","2,857.71","14,915.86","2,078.29",75.62,72.72,26.29,209.71,28.71
2023-06-10,MI,99.28,"19,824.29","2,869.86","15,245.14","2,094.86",76.89,73.0,43.14,178.71,23.57
2023-06-17,MI,97.74,"19,603.29","2,839.57","15,033.29","2,059.71",76.68,72.53,37.71,159.86,22.57
2023-06-24,MI,99.59,"19,701.86","2,872.71","15,136.71","2,069.29",76.82,72.02,40.43,140.29,24.0
2023-07-01,MI,99.08,"19,468.29","2,819.14","14,882","2,013",76.44,71.41,38.14,141.43,16.71
2023-07-08,MI,99.38,"19,300.71","2,756.86","14,357.86","1,919.71",74.4,69.65,84.57,122.71,12.86
2023-07-15,MI,99.28,"19,634","2,826.57","15,079.29","2,027.86",76.76,71.73,18.0,105.86,11.43
2023-07-22,MI,99.59,"19,840.43","2,850.43","14,998.43","2,014.14",75.59,70.66,7.43,95.86,11.29
2023-07-29,MI,99.38,"19,727.57","2,798","14,746.29","1,980.14",74.74,70.77,19.71,98.86,15.43
2023-08-05,MI,99.59,"19,890.29","2,843.57","15,000.14","2,048.29",75.4,72.02,34.29,117.86,16.14
2023-08-12,MI,98.77,"19,686.86","2,831.29","14,879.71","2,032.29",75.57,71.75,48.43,158.86,15.14
2023-08-19,MI,99.28,"19,622","2,844.71","14,763.14","2,040.86",75.23,71.74,38.86,188.86,16.29
2023-08-26,MI,99.59,"19,656.71","2,804.14","14,701.14","1,981.71",74.78,70.64,49.57,218.57,22.0
