"Week Ending Date","Geographic aggregation","Hospital Reporting Days","Percent Hospital Reporting Days","Number Hospitals Reporting Adult COVID-19 Admissions","Number Hospitals Reporting Pediatric COVID-19 Admissions","Number Hospitals Reporting Influenza Admissions","Number Hospitals Reporting Prevalent Influenza Hospitalizations","Number Hospitals Reporting Hospitalized Influenza ICU Patients","Number Hospitals Reporting Inpatient Beds","Number Hospitals Reporting ICU Beds","Number Hospitals Reporting Inpatient Beds Occupied","Number Hospitals Reporting ICU Beds Occupied","Number Hospitals Reporting Percent Inpatient Bed Occupancy","Number Hospitals Reporting Percent ICU Bed Occupancy","Number Hospitals Reporting Percent COVID-19 Inpatient Bed Occupancy","Number Hospitals Reporting Percent Influenza Inpatient Bed Occupancy","Number Hospitals Reporting Percent COVID-19 ICU Bed Occupancy","Number Hospitals Reporting Percent Influenza ICU Bed Occupancy","Number Hospitals Reporting Total COVID-19 Admissions","Number Hospitals Reporting Prevalent COVID-19 Hospitalizations","Number Hospitals Reporting Hospitalized COVID-19 ICU Patients","Weekly Average Adult COVID-19 Admissions","Weekly Total Adult COVID-19 Admissions","Weekly Average Pediatric COVID-19 Admissions","Weekly Total Pediatric COVID-19 Admissions","Weekly Average COVID-19 Admissions","Weekly Total COVID-19 Admissions","Weekly Average Influenza Admissions","Weekly Total Influenza Admissions","Weekly Average Prevalent COVID-19 Hospitalizations","Weekly Average Prevalent Influenza Hospitalizations","Weekly Average Hospitalized COVID-19 ICU Patients","Weekly Average Hospitalized Influenza ICU Patients","Weekly Average Inpatient Beds","Weekly Average ICU Beds","Weekly Average Inpatient Beds Occupied","Weekly Average ICU Beds Occupied","Weekly Average Percent Inpatient Bed Occupancy","Weekly Average Percent ICU Bed Occupancy","Weekly Average Percent COVID-19 Inpatient Bed Occupancy","Weekly Average Percent Influenza Inpatient Bed Occupancy","Weekly Average Percent COVID-19 ICU Bed Occupancy","Weekly Average Percent Influenza ICU Bed Occupancy","Percent Adult COVID-19 Admissions","Percent Pediatric COVID-19 Admissions","Percent Hospitals Reporting Adult COVID-19 Admissions","Percent Hospitals Reporting Pediatric COVID-19 Admissions","Percent Hospitals Reporting Influenza Admissions","Percent Hospitals Reporting Prevalent Influenza Hospitalizations","Percent Hospitals Reporting Hospitalized Influenza ICU Patients","Percent Hospitals Reporting Inpatient Beds","Percent Hospitals Reporting ICU Beds","Percent Hospitals Reporting Inpatient Beds Occupied","Percent Hospitals Reporting ICU Beds Occupied","Percent Hospitals Reporting Percent Inpatient Bed Occupancy","Percent Hospitals Reporting Percent ICU Bed Occupancy","Percent Hospitals Reporting Percent COVID-19 Inpatient Bed Occupancy","Percent Hospitals Reporting Percent Influenza Inpatient Bed Occupancy","Percent Hospitals Reporting Percent COVID-19 ICU Bed Occupancy","Percent Hospitals Reporting Percent Influenza ICU Bed Occupancy","Percent Hospitals Reporting Total COVID-19 Admissions","Percent Hospitals Reporting Prevalent COVID-19 Hospitalizations","Percent Hospitals Reporting Hospitalized COVID-19 ICU Patients","Absolute Change in the Percent Hospitals Reporting Adult COVID-19 Admissions from Prior Week","Absolute Change in the Percent Hospitals Reporting Pediatric COVID-19 Admissions from Prior Week","Absolute Change in the Percent Hospitals Reporting Influenza Admissions from Prior Week ","Absolute Change in the Percent Hospitals Reporting Prevalent Influenza Hospitalizations from Prior Week ","Absolute Change in the Percent Hospitals Reporting Hospitalized Influenza ICU Patients from Prior Week ","Absolute Change in the Percent Hospitals Reporting Inpatient Beds from Prior Week ","Absolute Change in the Percent Hospitals Reporting ICU Beds from Prior Week ","Absolute Change in the Percent Hospitals Reporting Inpatient Beds Occupied from Prior Week ","Absolute Change in the Percent Hospitals Reporting ICU Beds Occupied from Prior Week ","Absolute Change in the Percent Hospitals Reporting Percent Inpatient Bed Occupancy from Prior Week ","Absolute Change in the Percent Hospitals Reporting Percent ICU Bed Occupancy from Prior Week ","Absolute Change in the Percent Hospitals Reporting Percent COVID-19 Inpatient Bed Occupancy from Prior Week ","Absolute Change in the Percent Hospitals Reporting Percent Influenza Inpatient Bed Occupancy from Prior Week ","Absolute Change in the Percent Hospitals Reporting Percent COVID-19 ICU Bed Occupancy from Prior Week ","Absolute Change in the Percent Hospitals Reporting Percent Influenza ICU Bed Occupancy from Prior Week ","Absolute Change in the Percent Hospitals Reporting Total COVID-19 Admissions from Prior Week ","Absolute Change in the Percent Hospitals Reporting Prevalent COVID-19 Hospitalizations from Prior Week ","Absolute Change in the Percent Hospitals Reporting Hospitalized COVID-19 ICU Patients from Prior Week "
"2023-01-07","MI","953","97.94%","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","149.14","1,044","6.57","46","155.71","1,090","102","714","1,208.86","698.71","149.71","103.57","19,672.43","2,908.86","16,030.86","2,223.86","81.48%","76.44%","6.14%","3.55%","5.14%","3.56%","95.78%","4.22%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72"
"2023-01-14","MI","951","97.74%","137","137","137","137","137","137","137","137","137","137","137","137","137","137","137","137","137","137","121.86","853","5.57","39","127.43","892","45.71","320","1,010.71","402.57","133.71","70.43","19,439","2,886.43","15,941.14","2,181.86","81.97%","75.56%","5.20%","2.08%","4.62%","2.44%","95.63%","4.37%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72"
"2023-01-21","MI","948","97.43%","136","136","136","136","136","136","136","136","136","136","136","136","136","136","136","136","136","136","93","651","4","28","97","679","24.43","171","870.43","224.14","105.86","38.71","19,312.43","2,865.57","15,630.43","2,144","80.90%","74.76%","4.50%","1.16%","3.70%","1.35%","95.88%","4.12%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72","-0.72"
"2023-01-28","MI","943","96.92%","136","136","136","136","136","136","136","136","136","136","136","136","136","136","136","136","136","136","84.86","594","4.43","31","89.29","625","12","84","688","124.71","86.71","15.71","19,280.86","2,861.57","15,431.14","2,068.14","80.00%","72.24%","3.57%","0.65%","3.03%","0.55%","95.04%","4.96%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","97.84%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-02-04","MI","948","97.43%","137","137","137","137","137","137","137","137","137","137","137","137","137","137","137","137","137","137","80.43","563","3.29","23","83.71","586","12.43","87","599.14","66.57","86.29","7.71","19,326.57","2,857.29","15,016.43","2,033.71","77.66%","71.13%","3.10%","0.34%","3.02%","0.27%","96.08%","3.92%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","98.56%","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72"
"2023-02-11","MI","955","98.15%","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","80.29","562","9.29","65","89.57","627","8","56","586.86","47.86","79.71","7.57","19,545.57","2,873.43","15,356.14","2,090.71","78.52%","72.71%","3.00%","0.25%","2.78%","0.26%","89.63%","10.37%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72"
"2023-02-18","MI","961","98.77%","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","84.57","592","6.14","43","90.71","635","8.57","60","588.57","40.57","69.57","7.57","19,746.29","2,906.86","15,425.29","2,099.86","78.11%","72.23%","2.98%","0.21%","2.39%","0.26%","93.23%","6.77%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-02-25","MI","951","97.74%","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","88.86","622","6.14","43","95","665","7.71","54","623.86","41.43","66.29","8.14","19,332","2,863.57","15,132.86","2,046","78.23%","71.40%","3.22%","0.21%","2.31%","0.29%","93.53%","6.47%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-03-04","MI","959","98.56%","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","138","98.86","692","3.14","22","102","714","7.29","51","660.43","42.71","73.14","6.71","19,669.57","2,905.71","15,510.29","2,098.71","78.84%","72.22%","3.36%","0.22%","2.52%","0.23%","96.92%","3.08%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","99.28%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2023-03-11","MI","965","99.18%","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","139","90.71","635","3.57","25","94.29","660","5.14","36","607.29","27.14","76.14","2.43","19,741.71","2,916.57","15,554.14","2,111.43","78.78%","72.39%","3.08%","0.14%","2.61%","0.08%","96.21%","3.79%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","100.00%","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72","0.72"
