week_end,ed_demand_pct,icu_same_week,icu_1_week_later,icu_2_weeks_later,icu_3_weeks_later,demand_level,warning_status
2023-01-07,8.24,76.44,75.56,74.76,72.24,High,Normal
2023-01-14,5.38,75.56,74.76,72.24,71.13,High,Normal
2023-01-21,3.46,74.76,72.24,71.13,72.71,High,Normal
2023-01-28,2.51,72.24,71.13,72.71,72.23,Moderate,Normal
2023-02-04,2.22,71.13,72.71,72.23,71.40,Moderate,Normal
2023-02-11,2.26,72.71,72.23,71.40,72.22,Moderate,Normal
2023-02-18,2.40,72.23,71.40,72.22,72.39,Moderate,Normal
2023-02-25,2.43,71.40,72.22,72.39,72.49,Moderate,Normal
2023-03-04,2.37,72.22,72.39,72.49,72.64,Moderate,Normal
2023-03-11,2.30,72.39,72.49,72.64,72.31,Moderate,Normal
2023-03-18,2.25,72.49,72.64,72.31,72.81,Moderate,Normal
2023-03-25,2.19,72.64,72.31,72.81,73.05,Moderate,Normal
2023-04-01,2.06,72.31,72.81,73.05,73.00,Moderate,Normal
2023-04-08,1.81,72.81,73.05,73.00,71.69,Moderate,Normal
2023-04-15,1.52,73.05,73.00,71.69,71.97,Moderate,Normal
2023-04-22,1.27,73.00,71.69,71.97,71.91,Low,Normal
2023-04-29,1.09,71.69,71.97,71.91,71.64,Low,Normal
2023-05-06,0.97,71.97,71.91,71.64,72.35,Low,Normal
2023-05-13,0.87,71.91,71.64,72.35,72.72,Low,Normal
2023-05-20,0.76,71.64,72.35,72.72,73.00,Low,Normal
2023-05-27,0.66,72.35,72.72,73.00,72.53,Low,Normal
2023-06-03,0.56,72.72,73.00,72.53,72.02,Low,Normal
2023-06-10,0.49,73.00,72.53,72.02,71.41,Low,Normal
2023-06-17,0.43,72.53,72.02,71.41,69.65,Low,Normal
2023-06-24,0.39,72.02,71.41,69.65,71.73,Low,Normal
2023-07-01,0.37,71.41,69.65,71.73,70.66,Low,Normal
2023-07-08,0.37,69.65,71.73,70.66,70.77,Low,Normal
2023-07-15,0.40,71.73,70.66,70.77,72.02,Low,Normal
2023-07-22,0.45,70.66,70.77,72.02,71.75,Low,Normal
2023-07-29,0.53,70.77,72.02,71.75,71.74,Low,Normal
2023-08-05,0.66,72.02,71.75,71.74,70.64,Low,Normal
2023-08-12,0.85,71.75,71.74,70.64,70.87,Low,Normal
2023-08-19,1.09,71.74,70.64,70.87,70.91,Low,Normal
2023-08-26,1.38,70.64,70.87,70.91,73.90,Low,Normal
2023-09-02,1.70,70.87,70.91,73.90,74.25,Moderate,Normal
2023-09-09,1.98,70.91,73.90,74.25,73.94,Moderate,Normal
2023-09-16,2.17,73.90,74.25,73.94,75.55,Moderate,Normal
2023-09-23,2.19,74.25,73.94,75.55,74.75,Moderate,Normal
2023-09-30,2.04,73.94,75.55,74.75,75.58,Moderate,Normal
2023-10-07,1.84,75.55,74.75,75.58,75.62,Moderate,Normal
2023-10-14,1.70,74.75,75.58,75.62,73.52,Moderate,Normal
2023-10-21,1.71,75.58,75.62,73.52,74.39,Moderate,Normal
2023-10-28,1.88,75.62,73.52,74.39,75.02,Moderate,Normal
2023-11-04,2.17,73.52,74.39,75.02,74.70,Moderate,Normal
2023-11-11,2.55,74.39,75.02,74.70,75.77,Moderate,Normal
2023-11-18,3.00,75.02,74.70,75.77,77.78,Moderate,Normal
2023-11-25,3.60,74.70,75.77,77.78,76.48,High,EARLY WARNING
2023-12-02,4.42,75.77,77.78,76.48,76.11,High,EARLY WARNING
2023-12-09,5.49,77.78,76.48,76.11,73.81,High,EARLY WARNING
2023-12-16,6.61,76.48,76.11,73.81,77.26,High,EARLY WARNING
2023-12-23,7.39,76.11,73.81,77.26,78.67,High,EARLY WARNING
2023-12-30,7.56,73.81,77.26,78.67,76.71,High,EARLY WARNING
2024-01-06,7.18,77.26,78.67,76.71,75.15,High,Normal
2024-01-13,6.47,78.67,76.71,75.15,75.67,High,Normal
2024-01-20,5.71,76.71,75.15,75.67,76.47,High,Normal
2024-01-27,5.25,75.15,75.67,76.47,75.76,High,Normal
2024-02-03,5.29,75.67,76.47,75.76,76.56,High,EARLY WARNING
2024-02-10,5.91,76.47,75.76,76.56,77.44,High,EARLY WARNING
2024-02-17,6.81,75.76,76.56,77.44,77.73,High,EARLY WARNING
2024-02-24,7.35,76.56,77.44,77.73,76.84,High,EARLY WARNING
2024-03-02,6.96,77.44,77.73,76.84,76.37,High,Normal
2024-03-09,6.01,77.73,76.84,76.37,75.07,High,Normal
2024-03-16,5.02,76.84,76.37,75.07,74.30,High,Normal
2024-03-23,4.22,76.37,75.07,74.30,75.62,High,Normal
2024-03-30,3.52,75.07,74.30,75.62,74.84,High,Normal
2024-04-06,2.83,74.30,75.62,74.84,72.87,Moderate,Normal
2024-04-13,2.12,75.62,74.84,72.87,,Moderate,Normal
2024-04-20,1.52,74.84,72.87,,,Moderate,Normal
2024-04-27,1.09,72.87,,,,Low,Normal
